epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.536,1.11422,2.04914,1.18175,0.40173,0.41906,0.35842,0.24372,1.07284,1.29986,1.15211,0.000369221,0.000369221,0.000369221
2,242.902,1.02375,1.37158,1.11899,0.3077,0.3958,0.2978,0.20671,1.01622,1.48258,1.12746,0.000715149,0.000715149,0.000715149
3,358.596,1.01368,1.26932,1.11134,0.34518,0.4997,0.3976,0.28027,1.02868,1.12677,1.12294,0.00103664,0.00103664,0.00103664
4,474.816,0.995,1.2037,1.096,0.46443,0.45903,0.41906,0.30683,0.98008,1.10011,1.09613,0.00100101,0.00100101,0.00100101
5,588.804,0.98128,1.1657,1.09325,0.40881,0.49556,0.42954,0.31635,0.95053,1.03197,1.0826,0.000964348,0.000964348,0.000964348
6,703.404,0.96842,1.12607,1.08303,0.44981,0.54404,0.46978,0.34211,0.96561,1.0952,1.09112,0.000927685,0.000927685,0.000927685
7,819.96,0.95289,1.08738,1.07552,0.41875,0.54402,0.44712,0.32515,0.95622,0.99451,1.08683,0.000891022,0.000891022,0.000891022
8,934.955,0.9462,1.07712,1.07084,0.44491,0.52017,0.46098,0.33144,0.98338,1.05736,1.10237,0.000854359,0.000854359,0.000854359
9,1048.74,0.94367,1.06563,1.07258,0.42481,0.49101,0.45719,0.33099,0.95499,1.11485,1.0998,0.000817696,0.000817696,0.000817696
10,1164.6,0.92811,1.03875,1.06488,0.41802,0.53264,0.45653,0.3402,0.94111,1.01109,1.07748,0.000781033,0.000781033,0.000781033
11,1278.77,0.92198,1.02255,1.05864,0.5078,0.54213,0.50529,0.37234,0.92324,0.9506,1.07217,0.00074437,0.00074437,0.00074437
12,1390.69,0.91419,1.00084,1.05529,0.49704,0.5506,0.50861,0.38008,0.92716,1.02761,1.06898,0.000707707,0.000707707,0.000707707
13,1505.65,0.90987,0.99508,1.05435,0.46471,0.56506,0.49233,0.36786,0.9055,0.92568,1.05584,0.000671044,0.000671044,0.000671044
14,1621.17,0.90049,0.9777,1.04657,0.49067,0.52317,0.4837,0.3579,0.91292,0.96022,1.06027,0.000634381,0.000634381,0.000634381
15,1734.98,0.90028,0.98368,1.04834,0.48974,0.58197,0.52117,0.38784,0.91506,0.92053,1.06345,0.000597718,0.000597718,0.000597718
16,1849.44,0.8922,0.96626,1.04601,0.49294,0.55297,0.51262,0.38326,0.89663,0.92044,1.05411,0.000561055,0.000561055,0.000561055
17,1965.14,0.88775,0.96022,1.0423,0.47677,0.55515,0.52163,0.38544,0.92018,0.90376,1.06965,0.000524392,0.000524392,0.000524392
18,2078.66,0.87989,0.95054,1.04186,0.5157,0.56728,0.52159,0.39302,0.90321,0.88603,1.05498,0.000487729,0.000487729,0.000487729
19,2195.1,0.8794,0.92637,1.03658,0.49921,0.56973,0.52745,0.39623,0.89178,0.91098,1.04985,0.000451066,0.000451066,0.000451066
20,2312.04,0.86921,0.91694,1.03231,0.48923,0.55822,0.52366,0.39093,0.91213,0.90368,1.06415,0.000414403,0.000414403,0.000414403
21,2425.04,0.83952,0.86175,1.0258,0.48606,0.5781,0.52858,0.39602,0.90185,0.89912,1.05762,0.00037774,0.00037774,0.00037774
22,2538.02,0.83314,0.83891,1.02196,0.53255,0.54538,0.51854,0.38628,0.90393,0.93295,1.06326,0.000341077,0.000341077,0.000341077
23,2647.82,0.82284,0.82957,1.01532,0.51792,0.57424,0.5407,0.4081,0.89581,0.9055,1.05691,0.000304414,0.000304414,0.000304414
24,2759.73,0.81793,0.81705,1.01515,0.51464,0.54745,0.53174,0.40173,0.88482,0.87644,1.04816,0.000267751,0.000267751,0.000267751
25,2869.29,0.80922,0.80258,1.01065,0.48908,0.55993,0.519,0.39155,0.88869,0.89604,1.05338,0.000231088,0.000231088,0.000231088
26,2983.45,0.80183,0.78441,1.00623,0.52043,0.57223,0.53409,0.40668,0.88178,0.86449,1.04895,0.000194425,0.000194425,0.000194425
27,3094.68,0.79794,0.7679,1.00356,0.50594,0.59355,0.53893,0.4117,0.88148,0.87867,1.05021,0.000157762,0.000157762,0.000157762
28,3204.47,0.78864,0.75671,1.00212,0.54172,0.56339,0.54834,0.41712,0.87531,0.87229,1.0463,0.000121099,0.000121099,0.000121099
29,3317.62,0.7792,0.74051,0.99454,0.51989,0.59089,0.53824,0.41013,0.87617,0.87009,1.04797,8.4436e-05,8.4436e-05,8.4436e-05
30,3427.9,0.7768,0.73197,0.99508,0.5297,0.55599,0.52798,0.40205,0.87795,0.87815,1.05066,4.7773e-05,4.7773e-05,4.7773e-05
