epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.981,1.14592,2.42565,1.20261,0.46298,0.13126,0.19813,0.12863,1.27242,2.80797,1.33667,0.067136,0.000369221,0.000369221
2,241.914,1.0667,1.7844,1.19784,0.55359,0.30151,0.26757,0.18043,1.07454,2.29194,1.25812,0.0341486,0.000715149,0.000715149
3,354.253,1.0323,1.615,1.18512,0.43776,0.44298,0.37694,0.25794,1.00296,1.40927,1.17332,0.00113674,0.00103664,0.00103664
4,467.225,1.01775,1.54359,1.17292,0.39274,0.40942,0.34268,0.23193,1.04617,1.42896,1.20033,0.00100101,0.00100101,0.00100101
5,581.553,0.99833,1.48124,1.16456,0.41436,0.47819,0.40154,0.29087,0.9875,1.46319,1.15488,0.000964348,0.000964348,0.000964348
6,694.104,0.98419,1.43484,1.1542,0.46076,0.48224,0.42994,0.30645,0.95702,1.33605,1.12785,0.000927685,0.000927685,0.000927685
7,806.62,0.97707,1.39571,1.14867,0.42437,0.46713,0.40717,0.29159,0.96575,1.22147,1.13568,0.000891022,0.000891022,0.000891022
8,920.627,0.96564,1.37333,1.14212,0.41669,0.44479,0.37336,0.25301,1.01346,1.24256,1.17646,0.000854359,0.000854359,0.000854359
9,1033.74,0.95722,1.35634,1.13912,0.45003,0.51254,0.46016,0.33151,0.96043,1.20463,1.13379,0.000817696,0.000817696,0.000817696
10,1146.52,0.95352,1.32753,1.13632,0.44974,0.48116,0.38676,0.28084,0.94931,1.25096,1.127,0.000781033,0.000781033,0.000781033
11,1263.16,0.93997,1.3002,1.1255,0.47094,0.46443,0.43382,0.31924,0.93305,1.2061,1.12253,0.00074437,0.00074437,0.00074437
12,1378.05,0.93635,1.27588,1.1253,0.4447,0.5658,0.43397,0.31565,0.93464,1.22687,1.11531,0.000707707,0.000707707,0.000707707
13,1492.54,0.92929,1.26758,1.121,0.43099,0.48015,0.41076,0.29879,0.93091,1.24661,1.10695,0.000671044,0.000671044,0.000671044
14,1607.48,0.92212,1.2461,1.11272,0.4485,0.51021,0.46516,0.33484,0.94513,1.09538,1.11982,0.000634381,0.000634381,0.000634381
15,1723.11,0.92195,1.24423,1.11317,0.48019,0.52087,0.47928,0.35577,0.90936,1.08514,1.09948,0.000597718,0.000597718,0.000597718
16,1838.43,0.91408,1.22172,1.10987,0.48776,0.52716,0.49651,0.36297,0.92213,1.09225,1.099,0.000561055,0.000561055,0.000561055
17,1952.41,0.9094,1.22457,1.10795,0.47854,0.52187,0.47441,0.34907,0.91872,1.09489,1.10191,0.000524392,0.000524392,0.000524392
18,2066.02,0.90361,1.20696,1.10663,0.5128,0.56272,0.49044,0.35509,0.90893,1.0909,1.10106,0.000487729,0.000487729,0.000487729
19,2181.74,0.90493,1.1859,1.10201,0.47175,0.53056,0.47455,0.34898,0.90096,1.1048,1.09693,0.000451066,0.000451066,0.000451066
20,2296.9,0.89265,1.17546,1.09771,0.45645,0.53551,0.49654,0.36938,0.89387,1.02082,1.09163,0.000414403,0.000414403,0.000414403
21,2408.9,0.85664,1.17247,1.08232,0.49892,0.56129,0.52065,0.38865,0.89421,1.02805,1.08818,0.00037774,0.00037774,0.00037774
22,2520.05,0.84633,1.13845,1.07472,0.47529,0.56368,0.49372,0.36198,0.89418,1.06001,1.08836,0.000341077,0.000341077,0.000341077
23,2631.59,0.83905,1.12955,1.0709,0.5322,0.55338,0.52734,0.39908,0.87493,1.01894,1.08044,0.000304414,0.000304414,0.000304414
24,2740.54,0.83075,1.12192,1.06851,0.48235,0.56481,0.50701,0.37643,0.86761,1.0185,1.07455,0.000267751,0.000267751,0.000267751
25,2852.92,0.82647,1.10554,1.06451,0.48361,0.56806,0.511,0.38348,0.87026,1.00722,1.0728,0.000231088,0.000231088,0.000231088
26,2965.25,0.81953,1.08832,1.06054,0.52972,0.54743,0.51931,0.392,0.86983,1.01988,1.07767,0.000194425,0.000194425,0.000194425
27,3078.41,0.81596,1.0704,1.05565,0.51262,0.57296,0.5191,0.39806,0.86799,1.01086,1.07177,0.000157762,0.000157762,0.000157762
28,3190.29,0.80813,1.05578,1.05516,0.48743,0.60144,0.53064,0.4059,0.86564,0.9942,1.07173,0.000121099,0.000121099,0.000121099
29,3303.51,0.7991,1.04632,1.04829,0.48253,0.58228,0.52326,0.40032,0.86346,0.98859,1.06983,8.4436e-05,8.4436e-05,8.4436e-05
30,3418.3,0.79924,1.03656,1.04874,0.50101,0.57526,0.52808,0.40218,0.86195,0.9977,1.06759,4.7773e-05,4.7773e-05,4.7773e-05
