epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.7,1.07315,1.54363,1.15331,0.38574,0.34508,0.32594,0.21977,1.10878,1.24055,1.19065,0.000369221,0.000369221,0.000369221
2,266.854,1.02127,1.21015,1.1163,0.32843,0.36049,0.29754,0.19339,1.2146,1.51791,1.27821,0.000715149,0.000715149,0.000715149
3,395.618,1.01682,1.17257,1.11863,0.35678,0.47274,0.3529,0.23647,1.05022,1.1478,1.17419,0.00103664,0.00103664,0.00103664
4,520.775,0.99774,1.13325,1.10831,0.37155,0.51813,0.41196,0.28958,1.00362,1.04381,1.1296,0.00100101,0.00100101,0.00100101
5,646.542,0.97347,1.11145,1.09861,0.39143,0.44422,0.39178,0.28885,0.94651,1.04122,1.09193,0.000964348,0.000964348,0.000964348
6,774.116,0.96162,1.07552,1.08953,0.44651,0.48107,0.46415,0.32892,0.96559,0.99367,1.10869,0.000927685,0.000927685,0.000927685
7,900.21,0.94582,1.04892,1.07767,0.39959,0.48694,0.41197,0.29677,0.97865,1.07604,1.11594,0.000891022,0.000891022,0.000891022
8,1028.89,0.93194,1.03235,1.07071,0.47287,0.52598,0.47218,0.33819,0.94996,0.98725,1.09827,0.000854359,0.000854359,0.000854359
9,1155.36,0.9235,1.02536,1.06955,0.42405,0.52182,0.44884,0.33659,0.93041,1.01574,1.09013,0.000817696,0.000817696,0.000817696
10,1283.85,0.91738,1.00514,1.0677,0.40712,0.51357,0.44547,0.32958,0.9492,0.98764,1.10595,0.000781033,0.000781033,0.000781033
11,1410.26,0.90775,0.98552,1.06042,0.47928,0.54834,0.49576,0.36477,0.92803,0.92016,1.08376,0.00074437,0.00074437,0.00074437
12,1538.31,0.9017,0.96335,1.05502,0.45691,0.63116,0.49701,0.37175,0.92399,1.08781,1.08182,0.000707707,0.000707707,0.000707707
13,1663.77,0.89237,0.9593,1.05144,0.49244,0.53642,0.49152,0.36559,0.91352,0.9153,1.07329,0.000671044,0.000671044,0.000671044
14,1791.18,0.88587,0.94435,1.04444,0.45788,0.51998,0.47842,0.35759,0.92163,0.94175,1.07931,0.000634381,0.000634381,0.000634381
15,1919.1,0.88425,0.9381,1.04515,0.50217,0.53761,0.51022,0.37891,0.90651,0.9192,1.06888,0.000597718,0.000597718,0.000597718
16,2046.51,0.86897,0.92052,1.03857,0.44479,0.5992,0.5176,0.38137,0.90709,0.87818,1.08121,0.000561055,0.000561055,0.000561055
17,2174.61,0.86518,0.91974,1.03739,0.509,0.55249,0.52836,0.39007,0.91481,0.88321,1.07275,0.000524392,0.000524392,0.000524392
18,2300.61,0.85674,0.90826,1.03564,0.4869,0.57058,0.51619,0.38514,0.89417,0.88928,1.06529,0.000487729,0.000487729,0.000487729
19,2426.62,0.85757,0.88373,1.03182,0.48557,0.58619,0.51822,0.38598,0.8889,0.87041,1.06402,0.000451066,0.000451066,0.000451066
20,2553.38,0.84442,0.87149,1.02456,0.46262,0.57286,0.50507,0.37623,0.9012,0.87863,1.06655,0.000414403,0.000414403,0.000414403
21,2677.18,0.81531,0.81645,1.01856,0.5103,0.57459,0.53226,0.39816,0.89183,0.87621,1.0678,0.00037774,0.00037774,0.00037774
22,2800.8,0.80834,0.79955,1.01462,0.49477,0.54371,0.49708,0.36337,0.88811,0.88755,1.0668,0.000341077,0.000341077,0.000341077
23,2924.58,0.80021,0.7848,1.01014,0.52133,0.53605,0.52315,0.39133,0.89617,0.91748,1.0666,0.000304414,0.000304414,0.000304414
24,3047.01,0.79087,0.77272,1.00835,0.52174,0.58638,0.54941,0.41846,0.87592,0.86932,1.05727,0.000267751,0.000267751,0.000267751
25,3169.59,0.78417,0.75066,1.00499,0.51022,0.56445,0.53891,0.40796,0.88644,0.87249,1.06103,0.000231088,0.000231088,0.000231088
26,3292.74,0.77415,0.72757,0.998,0.51395,0.58588,0.5516,0.42042,0.88217,0.8634,1.05935,0.000194425,0.000194425,0.000194425
27,3415.51,0.76585,0.70914,0.99076,0.51133,0.5797,0.54253,0.41205,0.87935,0.87316,1.05718,0.000157762,0.000157762,0.000157762
28,3537.49,0.75386,0.69208,0.98903,0.5112,0.58784,0.54837,0.41887,0.88331,0.87341,1.06068,0.000121099,0.000121099,0.000121099
29,3660.23,0.74492,0.66885,0.98151,0.51521,0.57799,0.54267,0.41626,0.87924,0.88253,1.05908,8.4436e-05,8.4436e-05,8.4436e-05
30,3782.79,0.73969,0.65669,0.98074,0.50327,0.58813,0.53868,0.40962,0.88366,0.88261,1.06298,4.7773e-05,4.7773e-05,4.7773e-05
