epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.71,1.08331,1.5389,1.17156,0.36988,0.42664,0.34351,0.23377,1.03418,1.22014,1.16901,0.000369221,0.000369221,0.000369221
2,256.788,1.00886,1.20591,1.11371,0.43081,0.38351,0.34192,0.23516,1.02179,1.2261,1.14672,0.000715149,0.000715149,0.000715149
3,381.128,1.00402,1.16311,1.11731,0.40878,0.48364,0.39273,0.27715,1.01226,1.10147,1.13777,0.00103664,0.00103664,0.00103664
4,504.671,0.98629,1.12579,1.10609,0.36995,0.48066,0.39531,0.2793,1.01361,1.05607,1.14224,0.00100101,0.00100101,0.00100101
5,626.785,0.96693,1.10261,1.09769,0.44373,0.47573,0.4221,0.30143,0.97514,1.02273,1.12472,0.000964348,0.000964348,0.000964348
6,749.533,0.95214,1.05773,1.08635,0.41855,0.50805,0.44762,0.31578,0.94514,1.08198,1.10536,0.000927685,0.000927685,0.000927685
7,871.407,0.93601,1.0339,1.07818,0.42066,0.50969,0.42919,0.30446,0.94811,0.96513,1.10547,0.000891022,0.000891022,0.000891022
8,992.09,0.92141,1.02139,1.07005,0.49872,0.50492,0.46417,0.33566,0.94403,0.98034,1.09792,0.000854359,0.000854359,0.000854359
9,1113.75,0.91556,1.00861,1.06953,0.44681,0.49447,0.46053,0.34061,0.91247,1.02643,1.08331,0.000817696,0.000817696,0.000817696
10,1236.66,0.9093,0.98924,1.06579,0.47496,0.4964,0.45663,0.33256,0.93922,0.9679,1.09673,0.000781033,0.000781033,0.000781033
11,1357.19,0.89817,0.97088,1.05661,0.46449,0.54504,0.46604,0.33929,0.9169,0.95995,1.08675,0.00074437,0.00074437,0.00074437
12,1478.41,0.88877,0.95318,1.05251,0.49455,0.54004,0.46894,0.34813,0.91831,1.02412,1.0861,0.000707707,0.000707707,0.000707707
13,1600.38,0.88167,0.94076,1.04864,0.46591,0.54333,0.48661,0.35994,0.90278,0.93694,1.07472,0.000671044,0.000671044,0.000671044
14,1723.18,0.87423,0.9275,1.04361,0.47134,0.5056,0.47547,0.35186,0.90533,0.93034,1.0787,0.000634381,0.000634381,0.000634381
15,1845.17,0.87044,0.92034,1.04383,0.52355,0.52631,0.50062,0.37054,0.89879,0.92689,1.0791,0.000597718,0.000597718,0.000597718
16,1966.46,0.85753,0.90747,1.03699,0.45346,0.51352,0.4513,0.33633,0.90263,0.9364,1.07481,0.000561055,0.000561055,0.000561055
17,2087.02,0.8538,0.89539,1.0349,0.48329,0.53003,0.50703,0.3769,0.90083,0.89997,1.07107,0.000524392,0.000524392,0.000524392
18,2207.61,0.84522,0.88665,1.03226,0.49974,0.57209,0.49265,0.35942,0.91281,0.91811,1.08292,0.000487729,0.000487729,0.000487729
19,2327.75,0.84701,0.86798,1.03007,0.47331,0.56549,0.50265,0.37663,0.89834,0.88929,1.07675,0.000451066,0.000451066,0.000451066
20,2447.84,0.83232,0.85196,1.02249,0.48098,0.54697,0.49362,0.36453,0.90211,0.8953,1.07838,0.000414403,0.000414403,0.000414403
21,2567.89,0.80199,0.79186,1.01399,0.48349,0.57807,0.51025,0.38247,0.8977,0.90928,1.07177,0.00037774,0.00037774,0.00037774
22,2685.35,0.79228,0.76737,1.00888,0.46947,0.57598,0.49475,0.36829,0.90095,0.90708,1.08059,0.000341077,0.000341077,0.000341077
23,2804.8,0.78512,0.75232,1.00563,0.46982,0.54144,0.50456,0.37588,0.90267,0.93551,1.07729,0.000304414,0.000304414,0.000304414
24,2923.78,0.77385,0.73255,1.00048,0.49599,0.53346,0.50631,0.38146,0.89742,0.9065,1.07294,0.000267751,0.000267751,0.000267751
25,3043.27,0.76798,0.71261,0.99724,0.49542,0.55227,0.51406,0.38486,0.89925,0.93364,1.07528,0.000231088,0.000231088,0.000231088
26,3160.83,0.75587,0.68635,0.99012,0.4861,0.56824,0.51461,0.38629,0.90041,0.92539,1.07428,0.000194425,0.000194425,0.000194425
27,3279.42,0.74681,0.6638,0.98348,0.49262,0.55157,0.5172,0.39035,0.89763,0.91509,1.07432,0.000157762,0.000157762,0.000157762
28,3399.36,0.73634,0.64334,0.98231,0.48819,0.53936,0.50697,0.38346,0.90155,0.94739,1.08273,0.000121099,0.000121099,0.000121099
29,3518.19,0.72529,0.62212,0.97482,0.49027,0.54593,0.49316,0.36919,0.90346,0.94486,1.08245,8.4436e-05,8.4436e-05,8.4436e-05
30,3636.27,0.71992,0.60831,0.97381,0.47563,0.56512,0.50085,0.37624,0.90068,0.95592,1.08154,4.7773e-05,4.7773e-05,4.7773e-05
