epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.809,1.02824,1.37802,1.12774,0.44322,0.46935,0.3593,0.256,0.97551,1.36875,1.12667,0.0751371,6.19826e-05,6.19826e-05
2,276.694,0.9543,1.14342,1.07825,0.43991,0.46858,0.40247,0.27815,1.00188,1.125,1.13462,0.0501951,0.000120055,0.000120055
3,403.884,0.93328,1.07973,1.06975,0.43337,0.48443,0.3928,0.28177,0.93414,1.21248,1.09206,0.0252491,0.000174024,0.000174024
4,531.079,0.92062,1.05102,1.063,0.44938,0.51896,0.46822,0.34857,0.91886,0.99574,1.07877,0.000298965,0.00022389,0.00022389
5,659.163,0.90559,1.024,1.05762,0.44313,0.47805,0.45299,0.33978,0.90883,0.97301,1.0751,0.000215852,0.000215852,0.000215852
6,785.522,0.89419,0.9879,1.05053,0.47186,0.53524,0.48815,0.36228,0.8959,0.95208,1.06149,0.000207645,0.000207645,0.000207645
7,912.734,0.88668,0.96547,1.04732,0.45959,0.51977,0.46395,0.3421,0.90163,1.11905,1.07116,0.000199439,0.000199439,0.000199439
8,1038.68,0.87731,0.94586,1.04188,0.46365,0.52488,0.48047,0.36051,0.91446,0.95353,1.07323,0.000191233,0.000191233,0.000191233
9,1165.16,0.86948,0.93961,1.03958,0.50102,0.52775,0.48868,0.36076,0.89981,0.98296,1.0701,0.000183026,0.000183026,0.000183026
10,1291.07,0.85747,0.91713,1.03296,0.50358,0.52084,0.47969,0.36574,0.88447,0.91288,1.05933,0.00017482,0.00017482,0.00017482
11,1416.35,0.85575,0.90043,1.02999,0.49081,0.53965,0.50983,0.3853,0.88544,0.9161,1.06075,0.000166614,0.000166614,0.000166614
12,1542.51,0.84731,0.87927,1.02725,0.51018,0.53382,0.50468,0.38009,0.88572,0.94562,1.05378,0.000158407,0.000158407,0.000158407
13,1668.43,0.84028,0.86534,1.02197,0.48651,0.53802,0.49383,0.36993,0.89244,0.93392,1.06026,0.000150201,0.000150201,0.000150201
14,1795.45,0.8305,0.84931,1.01464,0.48801,0.5019,0.50032,0.37602,0.88162,0.9602,1.05359,0.000141995,0.000141995,0.000141995
15,1921.72,0.82996,0.84057,1.01623,0.51049,0.57566,0.52871,0.39925,0.90213,0.90195,1.0698,0.000133788,0.000133788,0.000133788
16,2046.93,0.81754,0.82116,1.01094,0.50186,0.56082,0.50822,0.38185,0.88506,0.92469,1.0608,0.000125582,0.000125582,0.000125582
17,2171.99,0.81366,0.80935,1.00855,0.51626,0.52532,0.49201,0.36999,0.88821,0.95275,1.06384,0.000117376,0.000117376,0.000117376
18,2296.75,0.80682,0.79975,1.00701,0.50915,0.56095,0.5153,0.39042,0.88256,0.91347,1.05945,0.000109169,0.000109169,0.000109169
19,2420.23,0.8054,0.77127,1.00277,0.46755,0.55599,0.49758,0.37476,0.8864,0.92465,1.0601,0.000100963,0.000100963,0.000100963
20,2544.66,0.79324,0.75851,0.99776,0.50838,0.55302,0.51851,0.39425,0.88123,0.91182,1.06059,9.27566e-05,9.27566e-05,9.27566e-05
21,2668.65,0.76057,0.68868,0.98836,0.51381,0.54568,0.49915,0.37489,0.88614,0.95495,1.06579,8.45503e-05,8.45503e-05,8.45503e-05
22,2792.96,0.75082,0.66286,0.98352,0.49548,0.55328,0.50747,0.38494,0.88183,0.94722,1.06109,7.63439e-05,7.63439e-05,7.63439e-05
23,2914.54,0.74585,0.64748,0.97975,0.50159,0.54347,0.4952,0.37281,0.89366,1.00348,1.07374,6.81376e-05,6.81376e-05,6.81376e-05
24,3037.19,0.73777,0.63021,0.97675,0.49867,0.55466,0.5032,0.37785,0.88873,0.95024,1.07105,5.99312e-05,5.99312e-05,5.99312e-05
25,3157.87,0.72808,0.60992,0.97163,0.50006,0.54882,0.49832,0.38034,0.88614,0.98948,1.06296,5.17249e-05,5.17249e-05,5.17249e-05
26,3279.44,0.72145,0.58987,0.96847,0.53319,0.54032,0.50475,0.38262,0.88962,1.00361,1.0681,4.35185e-05,4.35185e-05,4.35185e-05
27,3400.87,0.71841,0.57213,0.96521,0.53073,0.50609,0.50222,0.38235,0.89093,1.04966,1.07059,3.53122e-05,3.53122e-05,3.53122e-05
28,3523.06,0.71112,0.55887,0.9652,0.55673,0.50125,0.50162,0.37948,0.8912,1.01857,1.07193,2.71058e-05,2.71058e-05,2.71058e-05
29,3645.15,0.70205,0.54441,0.95889,0.5243,0.51925,0.49502,0.3755,0.89279,1.0491,1.07286,1.88995e-05,1.88995e-05,1.88995e-05
30,3768.04,0.70288,0.53733,0.95974,0.52102,0.51902,0.49356,0.37235,0.89285,1.09332,1.07205,1.06931e-05,1.06931e-05,1.06931e-05
